Country,Bothsexes16
Afghanistan,62.7
Albania,76.4
Algeria,76.4
Angola,62.6
Antigua and Barbuda,75
Argentina,76.9
Armenia,74.8
Australia,82.9
Austria,81.9
Azerbaijan,73.1
The Bahamas,75.7
Bahrain,79.1
Bangladesh,72.7
Barbados,75.6
Belarus,74.2
Belgium,81.2
Belize,70.5
Benin,61.1
Bhutan,70.6
Bolivia,71.5
Bosnia and Herzegovina,77.3
Botswana,66.1
Brazil,75.1
Brunei Darussalam,76.4
Bulgaria,74.8
Burkina Faso,60.3
Burundi,60.1
Ivory Coast,54.6
Cabo Verde,73.2
Cambodia,69.4
Cameroon,58.1
Canada,82.8
Central African Republic,53
Chad,54.3
Chile,79.5
China,76.4
Colombia,75.1
Comoros,63.9
Republic of Congo,64.3
Costa Rica,79.6
Croatia,78.3
Cuba,79
Cyprus,80.7
Czech Republic,79.2
North Korea,71.9
Democratic Republic of the Congo,60.5
Denmark,81.2
Djibouti,63.8
Dominican Republic,73.5
Ecuador,76.5
Egypt,70.5
El Salvador,73.7
Equatorial Guinea,59.5
Eritrea,65
Estonia,77.8
Eswatini,57.7
Ethiopia,65.5
Fiji,69.9
Finland,81.4
France,82.9
Gabon,66.4
Gambia,61.9
Georgia,72.6
Germany,81
Ghana,63.4
Greece,81.2
Grenada,73.4
Guatemala,73.2
Guinea,59.8
Guinea Bissau,59.8
Guyana,66.2
Haiti,63.5
Honduras,75.2
Hungary,76
Iceland,82.4
India,68.8
Indonesia,69.3
Iran,75.7
Iraq,69.8
Ireland,81.5
Israel,82.3
Italy,82.8
Jamaica,76
Japan,84.2
Jordan,74.3
Kazakhstan,71.1
Kenya,66.7
Kiribati,66.1
Kuwait,74.8
Kyrgyzstan,71.4
Laos,65.8
Latvia,75
Lebanon,76.3
Lesotho,52.9
Liberia,62.9
Libya,71.9
Lithuania,75
Luxembourg,82.4
Madagascar,66.1
Malawi,64.2
Malaysia,75.3
Maldives,78.4
Mali,58
Malta,81.5
Mauritania,63.9
Mauritius,74.8
Mexico,76.6
Micronesia (Federated States of),69.6
Mongolia,69.8
Montenegro,76.8
Morocco,76
Mozambique,60.1
Myanmar,66.8
Namibia,63.7
Nepal,70.2
Netherlands,81.6
New Zealand,82.2
Nicaragua,75.5
Niger,59.8
Nigeria,55.2
Norway,82.5
Oman,77
Pakistan,66.5
Panama,78
Papua New Guinea,65.9
Paraguay,74.2
Peru,75.9
Philippines,69.3
Poland,77.8
Portugal,81.5
Qatar,78.1
South Korea,82.7
Moldova,71.5
Macedonia,75.9
Romania,75.2
Russia,71.9
Rwanda,68
Saint Lucia,75.6
Saint Vincent and the Grenadines,72
Samoa,75.1
Sao Tome and Principe,68.7
Saudi Arabia,74.8
Senegal,66.8
Republic of Serbia,76.3
Seychelles,73.3
Sierra Leone,53.1
Singapore,82.9
Slovakia,77.4
Slovenia,80.9
Solomon Islands,71.1
Somaliland,55.4
South Africa,63.6
South Sudan,58.6
Spain,83.1
Sri Lanka,75.3
Sudan,65.1
Suriname,71.8
Sweden,82.4
Switzerland,83.3
Syria,63.8
Tajikistan,70.8
Thailand,75.5
Timor-Leste,68.6
Togo,60.6
Tonga,73.4
Trinidad and Tobago,71.8
Tunisia,76
Turkey,76.4
Turkmenistan,68.2
Uganda,62.5
Ukraine,72.5
United Arab Emirates,77.2
United Kingdom,81.4
United Republic of Tanzania,63.9
United States of America,78.5
Uruguay,77.1
Uzbekistan,72.3
Vanuatu,72
Venezuela,74.1
Vietnam,76.3
Yemen,65.3
Zambia,62.3
Zimbabwe,61.4
